Estandar;grado;periodo;id_materia oficial;nombre_dba;Evidencia de aprendizaje;Eje tematico
"Justifico el uso de representaciones y procedimientos en
situaciones de proporcionalidad directa e inversa

Analizo las propiedades de correlación
positiva y negativa entre
variables, de variación lineal o de
proporcionalidad directa y de proporcionalidad
inversa en contextos
aritméticos y geométricos.

• Justifico la pertinencia de un cálculo exacto o aproximado
en la solución de un problema y lo razonable o no de las
respuestas obtenidas.


Conjeturo acerca del resultado de
un experimento aleatorio usando
proporcionalidad y nociones básicas
de probabilidad.";7;3;1;"Identifica y analiza propiedades de covariación directa e inversa entre variables, en contextos numéricos, geométricos y cotidianos y las representa mediante gráficas (cartesianas de puntos, continuas, formadas por segmentos, etc.).


Compara características compartidas por dos o más poblaciones o características diferentes dentro de una misma población para lo cual seleccionan muestras, utiliza representaciones gráficas adecuadas y analiza los resultados obtenidos usando conjuntamente las medidas de tendencia central y el rango.


A partir de la información previamente obtenida en repeticiones de experimentos aleatorios sencillos, compara las frecuencias esperadas con las frecuencias observadas.";Propone patrones de comportamiento numéricos y expresa verbalmente o por escrito los procedimientos matemáticos. m Realiza cálculos numéricos, organiza la información en tablas, elabora representaciones gráficas y las interpreta. m Trabaja sobre números desconocidos y con esos números para dar respuestas a los problemas;"Proporcionalidad, razones y proporciones, proporcionalidad directa, proporcionalidad inversa, resolución de problemas con reglas de tres simple directa, simple inversa, regla de tres compuesta, resolución de problemas con reglas de tres.
Estadística y probabilidad, caracterización de variables cuantitativas, caracterización en forma agrupada, caracterización en forma no agrupada, teoría de la probabilidad, probabilidad simple, propiedades de la probabilidad, principio de multiplicación, caracterización de datos y probabilidad"
"Modelo situaciones de variación
con funciones polinómica, 

Construyo expresiones algebraicas
equivalentes a una expresión algebraica
dada.
";8;3;1;"
Reconoce los diferentes usos y significados de las operaciones (convencionales y no convencionales) y del signo igual (relación de equivalencia e igualdad condicionada) y los utiliza para argumentar equivalencias entre expresiones algebraicas y resolver sistemas de ecuaciones.


Utiliza y explica diferentes estrategias para encontrar el volumen de objetos regulares e irregulares en la solución de problemas en las matemáticas y en otras ciencias.


Describe atributos medibles de diferentes sólidos y explica relaciones entre ellos por medio del lenguaje algebraico

";"
Reconoce el uso del signo igual como relación de equivalencia de expresiones algebraicas en los números reales


Estima medidas de volumen con unidades estandarizadas y no estandarizadas. 
Utiliza la relación de las unidades de capacidad con las unidades de volumen (litros, dm3, etc) en la solución de un problema.


Utiliza lenguaje algebraico para representar el volumen de un prisma en términos de sus aristas. 
Realiza la representación gráfica del desarrollo plano de un prisma.
Estima, calcula y compara volúmenes a partir de las relaciones entre las aristas de un prisma o de otros sólidos. 
Interpreta las expresiones algebraicas que representan el volumen y el área cuando sus dimensiones varían";Productos y cocientes notables, el triángulo de pascal, concepto de factorización, factorización de monomios , binomios y polinomios
"• Utilizo la notación científica para representar medidas de
cantidades de diferentes magnitudes.
• Identifico y utilizo la potenciación, la radicación y la logaritmación
para representar situaciones matemáticas y no
matemáticas y para resolver problemas.";9;3;1;Utiliza los números reales, sus operaciones, relaciones y representaciones para analizar procesos infinitos y resolver problemas.;"Encuentra las relaciones y propiedades que determinan la formación de secuencias numéricas. 
Determina y utiliza la expresión general de una sucesión para calcular cualquier valor de la misma y para compararla con otras sucesiones.


Considera el error que genera la aproximación de un número real a partir de números racionales. 
Identifica la diferencia entre exactitud y aproximación en las diferentes representaciones de los números reales. Construye representaciones geométricas y numéricas de los números reales (con decimales, raíces, razones, y otros símbolos) y realiza conversiones entre ellas.";Potenciación y radicación, potenciación de números reales,  notación científica, propiedades de la radicación, operaciones con radicales, racionalización,  representación gráfica de los números complejos, conjugado de un número, operación con números complejos, sucesiones y series, sucesiones recursivas, sucesiones aritméticas, sucesiones geométricas, sumatoria
"Analizo las relaciones y propiedades
entre las expresiones algebraicas y
las gráfi cas de funciones polinómicas
y racionales y de sus derivadas
.";10;3;1;"Comprende y usa el concepto de razón de cambio para estudiar el cambio promedio y el cambio alrededor de un punto y lo reconoce en representaciones gráficas, numéricas y algebraicas.


Resuelve problemas mediante el uso de las propiedades de las funciones y usa representaciones tabulares, gráficas y algebraicas para estudiar la variación, la tendencia numérica y las razones de cambio entre magnitudes.


Explora y describe las propiedades de los lugares geométricos y de sus transformaciones a partir de diferentes representaciones.



Comprende y usa el concepto de razón de cambio para estudiar el cambio promedio y el cambio alrededor de un punto y lo reconoce en representaciones gráficas, numéricas y algebraicas";"Utiliza representaciones gráficas o numéricas para tomar decisiones, frente a la solución de problemas prácticos. Determina la tendencia numérica en relación con problemas prácticos como predicción del comportamiento futuro. Relaciona características algebraicas de las funciones, sus gráficas y procesos de aproximación sucesiva.


Utiliza representaciones gráficas o numéricas para tomar decisiones en problemas prácticos. ";Trigonometría y geometría analítica , definición de identidades trigonométricas, identidades fundamentales, identidades para la suma de ángulos, identidades trigonométricas para ángulos medios, ecuaciones trigonométricas, ecuaciones trigonométricas lineales, ecuaciones trigonométricas en forma factor izada, ecuaciones trigonométricas con funciones inversas, distancia entre dos puntos, la circunferencia, ecuación canónica, posición relativa de dos circunferencias en el plano, problemas d aplicación , la parábola, la elipse, la hipérbola, 
"
Utilizo las técnicas de aproximación en procesos infinitos numéricos. • Interpreto la noción de derivada como razón de cambio y como valor de la pendiente de la tangente a una curva y desarrollo métodos para hallar las derivadas de algunas funciones básicas en contextos matemáticos y no matemáticos


















.";11;3;1;Usa propiedades y modelos funcionales para analizar situaciones y para establecer relaciones funcionales entre variables que permiten estudiar la variación en situaciones extraescolares y extraescolares;"•	Plantea modelos funcionales en los que identifica variables y rangos de variación de las variables.
•	Relaciona el signo de la derivada con características numéricas, geométricas y métricas.
•	Utiliza la derivada para estudiar la variación y relaciona características de la derivada con características de la función.
Relaciona características algebraicas de las funciones, sus gráficas y procesos de aproximación sucesiva";Limites y continuidad definición formal de limite, limites laterales,, limites de funciones trigonométricas, clases de límites, funciones continuas, discontinuidades,
"•	Reconoce mi potencial biológico y psíquico para realizar tareas motrices.
•	Mantiene vigentes sus habilidades motrices que me permiten explorar y adaptarse al medio

•	Incrementa mis capacidades físicas en un contexto de respeto y valoración de la vida y el cuerpo humano";6;3;4;"•	identifica algunas consecuencias ambientales en mi salud derivadas del mal uso que le damos  a las basuras cuando estamos en un campo de juego.
•	Participa en equipos de trabajo para desarrollar distintas actividades que le permitan darse cuenta cuáles son sus capacidades físicas";"•	Identifico medios para valorar y mi estado físico
•	Reconozco distintos métodos para valorar mi estado físico
•	Reconozco las ventajas y beneficios del calentamiento
•	Clasifico los deportes de acuerdo a características o recursos para mi desarrollo
•	Domino los conceptos sobre capacidades físicas";"•	Medición y evaluación diagnóstica
•	Test psicomotores
•	Concepto y finalidad del calentamiento
•	Capacidades físicas básicas
•	Deportes individuales, atletismo ajedrez, natación"
"•	Reconoce las diferencias personales y el carácter único del ser humano y lo respeta.
•	Acepta y comprende las limitaciones físicas, sensoriales y cognitivas en sus compañeros.
•	Interactúa motrizmente con sus compañeros para el logro de sus actividades de clase.";7;3;4;"•	Conoce el concepto de reglas y normas de los juegos básicos y predeportivos.
•	Identifica diferentes conceptos de formación deportiva básica.";"•	Conceptualiza sobre las capacidades físicas a través de diferentes medios de consulta.
•	Identifica pruebas físicas para valorar su estado deportivo.
•	Reconoce juegos y deportes de pelota por medio de trabajo en equipo.
•	Domina los fundamentos básicos del voleibol y tenis de mesa y acata sus reglas de juego";"•	Pruebas físicas
•	Practica de juegos organizados predeportivos.
•	Formación deportiva básica."
"•	Reconoce las diferencias individuales y el carácter único de cada persona y se integra con facilidad a través de actividades lúdicas y/o.";8;3;4;"•	Conoce los conceptos básicos de rítmica aplicada a diferentes actividades deportivas y lúdicas.";"•	Adquiere conocimientos sobre ritmos y bailes de la región Andina
•	Realiza actividades deportivas como caminatas y ciclo paseos donde se reconozca la riqueza natural de la vereda y las oportunidades de conservación por parte de la comunidad  ";"•	Concepto de: Juego
•	Lúdica
•	Recreación
•	Deporte
•	Gimnasia
•	Aeróbicos
•	Caminatas
•	Ciclo paseos
•	Expresiones Rítmico Danzarías"
"•	Recupera, conserva y mejora el ambiente como escenario propicio para la práctica de actividad física.
•	Reconoce las diferencias individuales y el carácter único de cada persona y se integra con facilidad a través de actividades lúdicas y/o deportivas.
•	Realiza de manera sistemática ejercicio físico para el mejoramiento de las funciones orgánicas y corporales.
•	Participa en la creación de normas de juego y las tengo en cuenta para las actividades programadas en clase";9;3;4;"•	Reconoce la importancia de un ambiente limpio y seguro para la práctica de actividad física y participa activamente en su conservación.
•	Implementa prácticas de reciclaje y reducción de residuos en el entorno escolar y comunitario para mantener un espacio propicio para la actividad física";"•	Reconoce los movimientos articulares que se realizan en el cuerpo humano.
•	Diferencia los test que permiten evaluar cada una de las capacidades físicas.
•	Identifica fundamentos básicos de la condición física para aplicarlos en el entrenamiento.
•	Identifica factores y características colectivas determinantes de los deportes de conjunto.
•	Clasifica los sistemas de eliminación de acuerdo con características de los participantes y del entorno.
•	Reconocer la importancia de mantener los escenarios deportivos y espacios utilizados para realizar actividades físicas limpios preservando su buen estado. ";"•	Movimientos articulares.
•	Test de aptitud física.
•	Fundamentos Básicos de la condición física: Carga y Adaptación."
"•	Aplica las capacidades físicas y habilidades motrices a las situaciones reales de aspectos técnico-tácticos normativos
•	Incorpora en mis hábitos diarios la practica regular y sistemática de un programa de ejercicios para mantener mi salud física y mental.";10;3;4;Desarrollar la capacidad de aplicar habilidades motrices en contextos reales y fomentar la práctica regular de ejercicios para el bienestar físico y mental.;"•	Comprende y diferencia el concepto de las distintas estrategias socializadoras.
•	Identifico en las diversas manifestaciones del juego medios de satisfacción y desarrollo personal
•	Valora las expresiones lúdicas y de recreación como dimensiones del ser humano que proporcionan satisfacción y descanso.
•	Descubre las diversas posibilidades de integración, socialización y convivencia a través del deporte";"•	Conceptos de Juego
•	Lúdica
•	Recreación y Deporte
•	Manifestaciones del juego.
•	Manifestaciones de la lúdica y la recreación
•	Manifestaciones del deporte"
"•	Aplica las capacidades físicas y habilidades motrices a las situaciones reales de aspectos técnico-tácticos normativos
•	Incorpora en mis hábitos diarios la practica regular y sistemática de un programa de ejercicios para mantener mi salud física y mental";11;3;4;;"•	Reconoce la importancia de los test físicos y los métodos de entrenamiento para el mejoramiento del estado físico.
•	Relaciona la condición física con la capacidad física del individuo.
•	Caracteriza los fundamentos técnico-tácticos del fútbol y la natación.
•	Emplea los conocimientos de administración y organización deportiva en las prácticas deportivas.
•	Lidera campañas de preservación y conservación del medio ambiente";"•	Condición física
•	Bases del entrenamiento deportivo.
•	Test funcionales
•	Deportes básicos: Fútbol y natación y deportes alternativos: 
•	Administración y organización deportiva"
"•	Relaciona el funcionamiento de algunos artefactos, productos, procesos y sistemas tecnológicos con su utilización segura.
•	Propone estrategias para soluciones tecnológicas a problemas en diferentes contextos.
•	Relaciona la transformación de los recursos naturales con el desarrollo tecnológico y su impacto en el bienestar de la sociedad.";6;3;7;"•	Utiliza las tecnologías de la información y la comunicación, para apoyar los procesos de aprendizaje y actividades personales (recolectar, seleccionar, organizar y procesar información).
•	Detecta fallas en artefactos, procesos y sistemas tecnológicos, siguiendo procedimientos de prueba y descarte, y propone estrategias de solución.
•	Se interesa por las tradiciones y valores de la comunidad y participa en la gestión de iniciativas en favor del medio ambiente, la salud y la cultura (como jornadas de recolección de materiales reciclables, vacunación, bazares, festivales, etc.).";"•	Crea accesos directos diferenciando entre carpetas, archivos, discos y programas en el S.O.
•	Utiliza el panel de control para personalizar el ambiente de trabajo del sistema operativo Windows. 
•	Utiliza las herramientas de Scandisk y desfragmentador de disco para solucionar problemas del sistema operativo.
•	Participa en jornadas de recolección y separación de residuos sólidos y elementos tecnológicos en desuso. (Prae)";"•	Manteni¬miento y personali¬zación de Windows.
	Formatear y copiar un disco.
	El Scandisk.
	El Desfragmentador de disco.
	Información del sistema.
	Liberador de espacio en disco.
	Papelera de reciclaje.
	Creación de accesos directos.
	Configurar el menú Inicio y la Barra de tareas.
	El Panel de Control.
•	Jornada de reciclaje"
"•	Propone estrategias para soluciones tecnológicas a problemas, en diferentes contextos.
•	Reconoce principios y conceptos propios de la tecnología, así como momentos de la historia que le han permitido al hombre transformar el entorno para resolver problemas y satisfacer necesidades.";7;3;7;"•	Interpreta gráficos, bocetos y planos de diferentes actividades.
•	Reconoce los procedimientos que puede utilizar para diseñar diagramas, paginar documentos, insertar hipervínculos, encabezados, crear tablas de contenido y combinar correspondencia.
•	Utiliza la computadora para apoyar los procesos de aprendizaje y actividades personales (recolectar, seleccionar, organizar y procesar información).";"•	Realiza gráficos estadísticos utilizando la herramienta ofimática Microsoft Word.
•	Diseña y elabora documentos que incluyen encabezados y pie de páginas referentes al medio ambiente. (Prae).
•	Elabora documentos aplicando las normas APA o ICONTEC.
•	Realiza combinación de correspondencia a partir de una lista de distribución o una fuente de datos externa.
•	Diferencia las maquinas simples de las maquinas compuestas.•	";"•	Los encabezados y pies de página.
	Numeración de páginas.
	Saltos de página.
	Hipervínculos.
	Tablas de contenido.
•	Normas APA o ICONTEC.
•	Editor de ecuaciones.
•	Gráficas estadísticas.
•	Combinar correspondencia.

•	Las Maquinas I.
	Las maquinas simples: la rueda, la polea, la palanca
	Las maquinas compuestas: el motor, tipos de movimiento. 
	Los aparatos tecnológicos y su impacto ambiental"
"•	Resuelvo problemas utilizando conocimientos tecnológicos y teniendo en cuenta algunas restricciones y condiciones.
•	Tiene en cuenta normas de mantenimiento y utilización de artefactos, productos, servicios, procesos y sistemas tecnológicos de su entorno para su uso eficiente y seguro.
•	Adquiere habilidades y destrezas en el manejo de herramientas ofimáticas a través de aparatos tecnológicos.";8;3;7;"•	Detecta fallas en sistemas tecnológicos sencillos (mediante un proceso de prueba y descarte) y propone soluciones.
•	Hago un mantenimiento adecuado de mis artefactos tecnológicos.
•	Utiliza responsablemente productos tecnológicos, valorando su pertinencia, calidad y efectos potenciales sobre la salud y el medio ambiente.
•	Se interesa por las tradiciones y valores de la comunidad y participa en la gestión de iniciativas en favor del medio ambiente, la salud y la cultura (como jornadas de recolección de materiales reciclables, vacunación, bazares, festivales, etc.)";"•	Reconoce el significado de los términos relacionados con los virus informáticos. 
•	Utiliza herramientas de los antivirus para la detección de infecciones.
•	Participa en jornadas de recolección y separación de residuos sólidos y elementos tecnológicos en desuso. (Prae)";"•	Virus informáti¬cos.
	¿Cómo nacieron los virus?
	¿Qué es un virus informático?
	Generalidades sobre los virus de computadoras.
	¿Quiénes los hacen?
	Funcionamiento de los virus.
	Algunos métodos de infección.
	Clasificación de los virus.
	Algunos ejemplos de virus.
	Correo spam (basura) y spyware (software espía).

•	¿Qué es un antivirus? 
	¿cómo funcionan los antivirus?
	Algunos programas antivirus.

•	Jornada de reciclaje






"
"•	Reconoce principios y conceptos propios de la tecnología, así como momentos de la historia que le han permitido al hombre transformar el entorno para resolver problemas y satisfacer necesidades.
•	Propone estrategias para soluciones tecnológicas a problemas, en diferentes contextos.";9;3;7;"•	Hace uso de la hoja de cálculo para la manipulación y organización de datos numéricos que le permitan realizar cálculos y representarlos a través de gráficos estadísticos.
•	Interpreta gráficos, bocetos y planos de diferentes actividades.
•	Utiliza la computadora para apoyar los procesos de aprendizaje y actividades personales (recolectar, seleccionar, organizar y procesar información) a través de gráficos estadísticos.";"•	Utiliza correctamente el asistente de funciones y de gráficos en el programa de Microsoft Excel.
•	Maneja funciones lógicas sencillas y anidadas.
•	Ordena y filtra información en una base de datos creada en el programa de Microsoft Excel.
•	Crea reportes de una manera dinámica y versátil sin la necesidad de emplear formulas.
•	Elabora gráficos de columnas, barras, líneas, circular y de dispersión en el programa de Microsoft Excel.
•	Soluciona problemas de la vida real aplicando las herramientas más importantes del programa de Microsoft Excel. (Prae)
•	Reconoce diferentes fuentes de energía y explica la forma de utilización de estas.
•	Diferencia la importancia de las energías renovables de las no renovables.";"•	Opciones avanzadas del Excel.
	Descripción de fórmulas y funciones.
	Operadores de cálculo para las fórmulas.
	Prioridad de operadores.
	La barra de fórmulas.
	El asistente de funciones.
	Referencias relativas y absolutas.
	Funciones más utilizadas del Excel.
	Formato condicional.
	Validación de datos.
	Listas y formularios.
	Filtros.
	Subtotales.
	Tablas dinámicas.

•	La Energía.
	¿Qué es la energía?
	Los Tipos de energía.
	Las fuentes y formas de energía.
	Energías limpias. Renovables.
	No renovables."
"•	Analiza y valora críticamente los componentes y evolución de los sistemas tecnológicos y las estrategias para su desarrollo.
•	Tiene en cuenta principios de funcionamiento y criterios de selección, para la utilización eficiente y segura de artefactos, productos, servicios, procesos y sistemas tecnológicos de mi entorno.
•	Resuelve problemas tecnológicos y evalúa las soluciones teniendo en cuenta las condiciones, restricciones y especificaciones del problema planteado.";10;3;7;"•	Indaga sobre la prospectiva e incidencia de algunos desarrollos tecnológicos.
•	Integra componentes y pone en marcha sistemas informáticos personales utilizando manuales de instrucciones.
•	Identifica las condiciones, especificaciones y restricciones de diseño, utilizadas en una solución tecnológica y puede verificar su cumplimiento.
•	Se interesa por las tradiciones y valores de la comunidad y participa en la gestión de iniciativas en favor del medio ambiente, la salud y la cultura (como jornadas de recolección de materiales reciclables, vacunación, bazares, festivales, etc.)";"•	Identifica los elementos que hacen parte en la construcción de un mapa conceptual.
•	Elabora mapas conceptuales teniendo en cuenta un tópico determinado 
•	Elabora mapas conceptuales teniendo en cuenta la inserción de hipervínculos (imágenes, videos y sitios web) a través de la aplicación Cmaptool.
•	Participa en jornadas de recolección y separación de residuos sólidos y elementos tecnológicos en desuso. (Prae)";"•	Los mapas conceptuales – Cmaptool
	¿Qué es un mapa conceptual? 
	¿Cuáles son las características de un mapa conceptual?
	Elementos de un mapa conceptual
	¿Cómo elaborar un mapa conceptual?
	Páginas web y programas para crearlos
	Diferencias entre mapas conceptuales y mentales.
	Utilidad y beneficios de los mapas conceptuales.
	Ejemplos.
	Practica a través del programa CMAPTOOL.

•	Jornada de reciclaje."
"•	Reconoce principios y conceptos propios de la tecnología, así como momentos de la historia que le han permitido al hombre transformar el entorno para resolver problemas y satisfacer necesidades.
•	Reconoce las implicaciones éticas, sociales y ambientales de las manifestaciones tecnológicas del mundo en que vive y actuar responsablemente.
•	Propone estrategias para soluciones tecnológicas a problemas, en diferentes contextos.
";11;3;7;"•	Analiza proyectos tecnológicos en desarrollo y debate el impacto de su posible implementación en su comunidad.
•	Utiliza la computadora para apoyar los procesos de aprendizaje y actividades personales (recolectar, seleccionar, organizar y procesar información) a través de gráficos estadísticos.
•	Toma decisiones relacionadas con las implicaciones sociales y ambientales de la tecnología y comunica los criterios básicos que utiliza o las razones que le condujeron a tomarlas. ";"•	Elabora consultas e informes con bases de datos relacionales en el programa de Microsoft Access.
•	Diseña proyectos en el programa de Microsoft Access aplicando normas y técnicas que resuelven problemas de la vida cotidiana.
•	Soluciona problemas de la vida real aplicando las herramientas más importantes del programa de Microsoft Access. (Prae)
•	Identifica las características de una huerta agroecológica.
•	Reconoce cada uno de los pasos para realizar una huerta agroecológica.";"•	Opciones avanzadas de Microsoft Access.
	El lenguaje de consultas SQL.
	Instrucciones del Lenguaje SQL.
	Consultas sencillas.
	Consultas avanzadas con varias tablas.
	Los informes.
	Personalización de informes.

•	Huerta agroecológica
	Característica de huerta agroecológica.
	Beneficios.
	¿Cómo montar una huerta agroecológica"
Aportar en negociación y resolución de conflictos.;6;3;8;Actúa basada en principios y valores sociales conservados en los grupos donde interactúa.;Identifico la importancia de los valores humanos. Conoce los beneficios de una persona comprometida en el bienestar de todos. Describe como la persona aplica los derechos y deberes para convivir en paz. Identifica las ventajas cuando se conocen y aplican los valores humanos. Opino sobre los problemas de convivencia y propongo soluciones;Ventajas y desventajas 3.2. Mediación de conflictos 3.3. Conflicto y construcción de paz
